date,facility,borrower_state_clean,principal_amount_of_loan_when_purchased_by_mslp
2020-07-01,MSPLF,WI,12300000
2020-07-14,MSNLF,FL,2000000
2020-07-13,MSPLF,FL,5000000
2020-07-21,MSNLF,FL,5500000
2020-07-16,MSNLF,FL,2500000
2020-07-13,MSPLF,PA,50000000
2020-07-16,MSPLF,FL,2100000
2020-07-16,MSPLF,FL,1500000
2020-07-22,MSNLF,FL,1900000
2020-07-22,MSNLF,FL,1900000
2020-07-15,MSNLF,LA,2000000
2020-07-23,MSPLF,PA,3250000
2020-07-23,MSNLF,TX,2225000
2020-07-30,MSNLF,FL,1500000
2020-07-21,MSNLF,FL,1255000
2020-07-30,MSPLF,FL,950000
2020-07-17,MSPLF,WV,3600000
2020-07-16,MSNLF,NV,10000000
2020-08-03,MSNLF,FL,10000000
2020-07-29,MSNLF,FL,2000000
2020-07-30,MSNLF,FL,2000000
2020-07-20,MSPLF,FL,30000000
2020-07-23,MSNLF,MO,1000000
2020-07-24,MSNLF,MO,1150000
2020-07-20,MSNLF,CA,25000000
2020-07-20,MSNLF,FL,2000000
2020-07-24,MSNLF,MO,4100000
2020-07-31,MSNLF,FL,2011948
2020-08-05,MSNLF,FL,7500000
2020-07-23,MSNLF,IL,3600000
2020-08-04,MSNLF,OK,3570000
2020-07-24,MSPLF,NJ,35000000
2020-07-23,MSPLF,CA,18000000
2020-07-30,MSNLF,FL,4115000
2020-08-07,MSPLF,FL,25000000
2020-08-10,MSPLF,FL,10000000
2020-08-05,MSNLF,FL,7500000
2020-08-04,MSPLF,FL,7280618
2020-08-07,MSNLF,FL,5142188
2020-07-31,MSNLF,PA,594000
2020-07-24,MSNLF,NH,1300000
2020-07-30,MSNLF,FL,644000
2020-08-07,MSNLF,WY,5000000
2020-08-05,MSPLF,FL,4717887
2020-08-06,MSPLF,FL,2661992
2020-08-04,MSNLF,NV,3000000
2020-08-11,MSPLF,NV,23600000
2020-08-07,MSPLF,KY,3649200
2020-07-30,MSNLF,NH,10800000
2020-08-05,MSNLF,TX,6200000
2020-08-12,MSPLF,FL,18500000
2020-08-11,MSNLF,FL,9932178
2020-07-30,MSPLF,TX,8850000
2020-07-28,MSPLF,TX,15000000
2020-08-03,MSPLF,MN,4561168.84
2020-07-24,MSNLF,LA,265000
2020-08-07,MSPLF,FL,650000
2020-08-12,MSPLF,FL,7200000
2020-08-06,MSPLF,NJ,5000000
2020-07-27,MSNLF,NE,3700000
2020-08-12,MSPLF,FL,840711
2020-08-14,MSPLF,FL,1423500
2020-08-11,MSPLF,KY,19072600
2020-08-05,MSPLF,KY,2973900
2020-08-14,MSNLF,FL,650000
2020-08-14,MSPLF,FL,10000000
2020-08-14,MSNLF,NY,8000000
2020-08-14,MSNLF,FL,2400000
2020-08-12,MSPLF,FL,2323000
2020-08-06,MSPLF,KY,16590500
2020-07-30,MSPLF,OK,786681
2020-07-28,MSPLF,TX,35000000
2020-08-14,MSPLF,FL,10000000
2020-07-29,MSPLF,NY,48500000
2020-08-13,MSPLF,TX,19500000
2020-08-14,MSPLF,FL,1250000
2020-08-14,MSNLF,FL,350000
2020-08-03,MSPLF,KS,9000000
2020-08-06,MSPLF,KY,3871100
2020-08-14,MSNLF,FL,4779262
2020-07-31,MSPLF,TX,22000000
2020-08-06,MSPLF,KY,3842420
2020-08-14,MSPLF,UT,3500000
2020-07-29,MSPLF,OK,6348600
2020-08-14,MSPLF,FL,2000000
2020-07-24,MSPLF,OK,1330584
2020-08-04,MSNLF,TX,2250000
2020-08-19,MSPLF,FL,15000000
2020-08-19,MSNLF,FL,510000
2020-08-19,MSNLF,WA,2500000
2020-08-18,MSPLF,FL,1272000
2020-07-22,MSNLF,TX,35000000
2020-08-11,MSNLF,TX,1500000
2020-08-21,MSNLF,FL,1100000
2020-07-29,MSPLF,NE,518000
2020-08-18,MSPLF,DE,50000000
2020-08-19,MSPLF,OK,1920000
2020-08-06,MSPLF,WA,5420000
2020-08-07,MSPLF,IL,50000000
2020-08-13,MSPLF,MS,30000000
2020-08-21,MSNLF,CA,10970000
2020-08-21,MSNLF,FL,3520000
