state,abb,median_loan,average_loan,total_loan,num_loans,data,population,per_cap_loan,per_cap_num_loans,unemp_change,epop_change
Alabama,AL,50000000,50000000,50000000,1,old_data,4903185,10.19745328801585,0.020394906576031702,4,-0.7999999999999972
Arkansas,AR,4439304.5,10695902.25,42783609,4,old_data,3017804,14.177066834028983,0.13254671277524982,2.2,-0.7000000000000028
Arizona,AZ,27095495,27095495,27095495,1,old_data,7278717,3.722564704741234,0.013738684990775159,2.1000000000000005,-2.5999999999999943
California,CA,5285000,11048061.94736842,419826354,38,old_data,39512223,10.625227388496972,0.0961727716509395,6.3999999999999995,-5.299999999999997
Colorado,CO,10572159,16717427.833333334,100304567,6,old_data,5758736,17.417809567932963,0.10418953048029984,4.3,-3
Connecticut,CT,56313000,56313000,112626000,2,old_data,3565287,31.589602744463487,0.05609646572632161,4.6000000000000005,-5.3999999999999915
District of Columbia,DC,27000000,27000000,27000000,1,old_data,705749,38.25722742788158,0.14169343491807992,3.799999999999999,-4.5
Delaware,DE,27372750,27372750,54745500,2,old_data,973764,56.2205010659667,0.20538857464436966,3.3,-2.5
Florida,FL,2225000,4716536.955223881,632015952,134,old_data,21477737,29.42656165312016,0.6239018570718134,3.9000000000000004,-3.6000000000000014
Georgia,GA,10463889,50032403.083333336,300194418.5,6,old_data,10617423,28.273755175808667,0.056510887811477416,3.2,-2.5999999999999943
Iowa,IA,30580870,30580870,30580870,1,old_data,3155070,9.69261220828698,0.03169501786014256,1.9000000000000004,-4.899999999999999
Illinois,IL,7400000,17344444.444444444,156100000,9,old_data,12671821,12.318671483759122,0.07102373052775919,6.9,-4.5
Indiana,IN,10000000,17500000,52500000,3,old_data,6732219,7.798320286372146,0.04456183020784083,3.0999999999999996,-1.3999999999999986
Kansas,KS,3794913,11022445,55112225,5,old_data,2913314,18.917365241096565,0.17162585289467594,2.9999999999999996,-0.29999999999999716
Kentucky,KY,3842420,7350413.333333333,66153720,9,old_data,4467673,14.807198288684065,0.2014471515708513,1.4000000000000004,-3.299999999999997
Louisiana,LA,1050000,1843906.25,29502500,16,old_data,4648794,6.3462695916403264,0.3441752850309134,2.9000000000000004,-3.200000000000003
Massachusetts,MA,1650000,6783250,33916250,5,old_data,6892503,4.920745047191129,0.07254258721396277,6.1000000000000005,-3.5
Maryland,MD,2550000,2550000,2550000,1,old_data,6045680,0.4217887814108587,0.016540736525916026,3.6,-5.899999999999999
Michigan,MI,4175000,4487500,17950000,4,old_data,9986857,1.7973622732357137,0.04005264118631117,4.499999999999999,-3.5
Minnesota,MN,3580584.42,3552792.21,14211168.84,4,old_data,5639632,2.5198752046232804,0.07092661365138718,2.5999999999999996,-3.200000000000003
Missouri,MO,4100000,19545000,97725000,5,old_data,6137428,15.9227937174986,0.08146735081861653,1.8000000000000003,-1.7999999999999972
Mississippi,MS,30000000,34931622.00666667,104794866.02,3,old_data,2976149,35.21156569109947,0.10080140476837686,1.6000000000000005,-0.6000000000000014
North Dakota,ND,5000000,5000000,5000000,1,old_data,762062,6.561145943505909,0.1312229188701182,2.5,-2.1999999999999886
Nebraska,NE,1103500,3214300,16071500,5,old_data,1934408,8.308226599559141,0.25847701208845286,0.8999999999999999,-1.7000000000000028
New Hampshire,NH,6050000,6050000,12100000,2,old_data,1359711,8.898949850372617,0.1470900801714482,2.9,-2
New Jersey,NJ,3053730.5,8120557.5,48723345,6,old_data,8882190,5.485510330222614,0.0675509080530815,4.1,-4.899999999999999
Nevada,NV,2241800,5940603.142857143,41584222,7,old_data,3080156,13.500686978192014,0.22726121663967672,9.3,-6.5
New York,NY,7000000,11177777.777777778,100600000,9,old_data,19453561,5.171289719141909,0.04626402333228348,6.2,-4.100000000000001
Ohio,OH,12546825,12546825,25093650,2,old_data,11689100,2.1467563798752685,0.017109957139557364,2.9000000000000004,-1.7999999999999972
Oklahoma,OK,4292929,7646158.0984,191153952.46,25,old_data,3956971,48.308150972044025,0.6317963917349912,2.6,-0.6999999999999957
Oregon,OR,4751614,5491419.5,21965678,4,old_data,4217737,5.207929750005749,0.0948375870757233,4.1,-1.1000000000000014
Pennsylvania,PA,5931250,21994562.5,175956500,8,old_data,12801989,13.744465801368834,0.06249028959484343,2.3,-3.700000000000003
Rhode Island,RI,25000000,25000000,25000000,1,old_data,1059361,23.599131929531104,0.094396527718124415,7.1000000000000005,-4.600000000000001
South Carolina,SC,2000000,2000000,4000000,2,old_data,5148714,0.7768930261032172,0.03884465130516086,2.8000000000000003,-2.3999999999999986
South Dakota,SD,685000,2587000,12935000,5,old_data,884659,14.62145301183846,0.5651895250034195,1.1,0.29999999999999716
Tennessee,TN,30000000,20580000,61740000,3,old_data,6829174,9.04062482519848,0.04392917796500719,4.2,-1.8999999999999986
Texas,TX,9300000,14362903.34105263,818685490.44,57,old_data,28995881,28.234544432017778,0.19657964522616161,4.300000000000001,-3.5
Utah,UT,9250000,11773000,70638000,6,old_data,3205958,22.033351653390344,0.18715154721303273,1.8000000000000003,-1.8000000000000114
