abb,year,month,mean_effect,year_month,change_sentiment
AK,2020,5,88,May 2020,NA
AK,2020,6,80.75,Jun 2020,-7.25
AK,2020,8,77.46666666666667,Aug 2020,-3.2833333333333314
AK,2020,9,73.575,Sep 2020,-3.8916666666666657
AK,2020,10,80.95,Oct 2020,7.375
AK,2020,11,84,Nov 2020,3.049999999999997
AK,2020,12,78.925,Dec 2020,-5.075000000000003
AK,2021,1,70.95,Jan 2021,NA
AK,2021,2,73.75,Feb 2021,2.799999999999997
AK,2021,3,74.575,Mar 2021,0.8250000000000028
AK,2021,4,73.2,Apr 2021,-1.375
AK,2021,5,74.2,May 2021,1
AK,2021,6,67.775,Jun 2021,-6.424999999999997
AK,2021,7,71.43333333333334,Jul 2021,3.6583333333333314
AK,2021,8,77.19999999999999,Aug 2021,5.7666666666666515
AK,2021,9,68.55,Sep 2021,-8.649999999999991
AK,2021,10,73.8,Oct 2021,5.25
AL,2020,5,81.78,May 2020,NA
AL,2020,6,78.2,Jun 2020,-3.5799999999999983
AL,2020,8,72.06666666666666,Aug 2020,-6.13333333333334
AL,2020,9,70.75,Sep 2020,-1.3166666666666629
AL,2020,10,73.75,Oct 2020,3
AL,2020,11,70.63333333333334,Nov 2020,-3.11666666666666
AL,2020,12,72.45,Dec 2020,1.8166666666666629
AL,2021,1,73.95,Jan 2021,NA
AL,2021,2,67.9,Feb 2021,-6.049999999999997
AL,2021,3,65.19999999999999,Mar 2021,-2.700000000000017
AL,2021,4,65.06666666666666,Apr 2021,-0.13333333333332575
AL,2021,5,70.25,May 2021,5.183333333333337
AL,2021,6,63.8,Jun 2021,-6.450000000000003
AL,2021,7,67.06666666666666,Jul 2021,3.2666666666666657
AL,2021,8,71.35,Aug 2021,4.283333333333331
AL,2021,9,66.775,Sep 2021,-4.574999999999989
AL,2021,10,65.06666666666666,Oct 2021,-1.7083333333333428
AR,2020,5,82.4,May 2020,NA
AR,2020,6,76.25,Jun 2020,-6.150000000000006
AR,2020,8,71.43333333333334,Aug 2020,-4.816666666666663
AR,2020,9,61.15,Sep 2020,-10.283333333333339
AR,2020,10,60.9,Oct 2020,-0.25
AR,2020,11,64.33333333333334,Nov 2020,3.4333333333333442
AR,2020,12,66.075,Dec 2020,1.74166666666666
AR,2021,1,64.5,Jan 2021,NA
AR,2021,2,65.8,Feb 2021,1.2999999999999972
AR,2021,3,65.2,Mar 2021,-0.5999999999999943
AR,2021,4,55.666666666666664,Apr 2021,-9.533333333333339
AR,2021,5,59,May 2021,3.3333333333333357
AR,2021,6,61.075,Jun 2021,2.075000000000003
AR,2021,7,57.96666666666666,Jul 2021,-3.1083333333333414
AR,2021,8,59.35,Aug 2021,1.38333333333334
AR,2021,9,62.35,Sep 2021,3
AR,2021,10,59.13333333333333,Oct 2021,-3.2166666666666686
AZ,2020,5,83.42,May 2020,NA
AZ,2020,6,78.45,Jun 2020,-4.969999999999999
AZ,2020,8,72.86666666666666,Aug 2020,-5.583333333333343
AZ,2020,9,70.9,Sep 2020,-1.9666666666666544
AZ,2020,10,71.4,Oct 2020,0.5
AZ,2020,11,67.16666666666667,Nov 2020,-4.233333333333334
AZ,2020,12,69.475,Dec 2020,2.308333333333323
AZ,2021,1,70.39999999999999,Jan 2021,NA
AZ,2021,2,69.5,Feb 2021,-0.8999999999999915
AZ,2021,3,66.575,Mar 2021,-2.924999999999997
AZ,2021,4,65.86666666666667,Apr 2021,-0.7083333333333286
AZ,2021,5,61.400000000000006,May 2021,-4.466666666666669
AZ,2021,6,63.97500000000001,Jun 2021,2.575000000000003
AZ,2021,7,59.03333333333333,Jul 2021,-4.941666666666677
AZ,2021,8,63.50000000000001,Aug 2021,4.466666666666676
AZ,2021,9,62.925,Sep 2021,-0.57500000000001
AZ,2021,10,62.366666666666674,Oct 2021,-0.5583333333333229
CA,2020,5,89.28,May 2020,NA
CA,2020,6,86.4,Jun 2020,-2.8799999999999955
CA,2020,8,80.76666666666667,Aug 2020,-5.63333333333334
CA,2020,9,78.5,Sep 2020,-2.2666666666666657
CA,2020,10,79.15,Oct 2020,0.6500000000000057
CA,2020,11,77.10000000000001,Nov 2020,-2.049999999999997
CA,2020,12,77.72500000000001,Dec 2020,0.625
CA,2021,1,77.94999999999999,Jan 2021,NA
CA,2021,2,76.45,Feb 2021,-1.4999999999999858
CA,2021,3,75.25,Mar 2021,-1.2000000000000028
CA,2021,4,74.2,Apr 2021,-1.0499999999999972
CA,2021,5,72.55000000000001,May 2021,-1.6499999999999915
CA,2021,6,70.9,Jun 2021,-1.6500000000000057
CA,2021,7,70.43333333333334,Jul 2021,-0.46666666666666856
CA,2021,8,71.5,Aug 2021,1.0666666666666629
CA,2021,9,70.8,Sep 2021,-0.7000000000000028
CA,2021,10,70.9,Oct 2021,0.10000000000000853
CO,2020,5,85.42,May 2020,NA
CO,2020,6,81.975,Jun 2020,-3.4450000000000074
CO,2020,8,73.83333333333333,Aug 2020,-8.141666666666666
CO,2020,9,71.825,Sep 2020,-2.0083333333333258
