abb,year,month,total,mean,num_loans,year_month,state,population,per_cap_loan,per_cap_num_loans,epop,unemp,epop_jan_2020,unemp_jan_2020,epop_change,unemp_change,unemp_diff,epop_diff,unemp_diff_in_diff,epop_diff_in_diff,unemp_month_change,epop_month_change
AK,2020,12,12189000,3047250,4,Dec 2020,Alaska,731545,16.66199618615396,0.5467879624630064,60.7,6.5,61.5,5,-0.7999999999999972,1.5,0.4627450980392158,2.0411764705882405,-1.362091503267974,2.367810457516345,0,0
AL,2020,10,50000000,50000000,1,Oct 2020,Alabama,4903185,10.19745328801585,0.020394906576031702,55.6,4.7,56.3,2.7,-0.6999999999999957,2,-1.792156862745098,-2.9392156862745082,-1.250326797385621,2.5624183006535963,-2,2.3999999999999986
AL,2020,12,133762250,22293708.333333332,6,Dec 2020,Alabama,4903185,27.280685921497966,0.12236943945619022,55.5,4.7,56.3,2.7,-0.7999999999999972,2,-1.337254901960784,-3.1588235294117624,-0.7954248366013069,2.342810457516342,0,0
AR,2020,7,5878609,5878609,1,Jul 2020,Arkansas,3017804,1.9479757466024963,0.033136678193812455,53,7.1,56.2,3.7,-3.200000000000003,3.3999999999999995,-1.9294117647058826,-3.7666666666666657,-1.8709150326797388,1.693300653594771,-0.7000000000000002,0.29999999999999716
AR,2020,8,33905000,16952500,2,Aug 2020,Arkansas,3017804,11.234990741612112,0.06627335638762491,53.2,6.5,56.2,3.7,-3,2.8,-1.2705882352941176,-4.305882352941175,-1.2120915032679738,1.1540849673202613,-0.5999999999999996,0.20000000000000284
AR,2020,10,3000000,3000000,1,Oct 2020,Arkansas,3017804,0.9941003458143737,0.033136678193812455,53.3,5.6,56.2,3.7,-2.9000000000000057,1.8999999999999995,-0.8921568627450984,-5.2392156862745125,-0.8336601307189547,0.2207516339869242,-0.3000000000000007,0
AR,2020,11,26850000,6712500,4,Nov 2020,Arkansas,3017804,8.897198095038643,0.13254671277524982,53.2,5.3,56.2,3.7,-3,1.5999999999999996,-0.9137254901960787,-5.2901960784313715,-0.855228758169935,0.1697712418300652,-0.2999999999999998,-0.09999999999999432
AR,2020,12,198621867,19862186.7,10,Dec 2020,Arkansas,3017804,65.81668889033217,0.3313667819381245,55.5,4.9,56.2,3.7,-0.7000000000000028,1.2000000000000002,-1.1372549019607838,-3.1588235294117624,-1.07875816993464,2.3011437908496744,-0.39999999999999947,2.299999999999997
AZ,2020,9,27095495,27095495,1,Sep 2020,Arizona,7278717,3.722564704741234,0.013738684990775159,56,6.9,58.8,4.8,-2.799999999999997,2.1000000000000005,-0.22745098039215694,-1.93333333333333,-1.5189542483660134,0.9099673202614409,-0.09999999999999964,0.29999999999999716
AZ,2020,11,81100000,16220000,5,Nov 2020,Arizona,7278717,11.142073527518654,0.0686934249538758,56.2,6.8,58.8,4.8,-2.5999999999999943,2,0.5862745098039213,-2.2901960784313715,-0.7052287581699352,0.5531045751633994,0,0
AZ,2020,12,174042281,10877642.5625,16,Dec 2020,Arizona,7278717,23.911120737349727,0.21981895985240255,56.2,6.8,58.8,4.8,-2.5999999999999943,2,0.7627450980392156,-2.4588235294117595,-0.5287581699346409,0.3844771241830114,0,0
CA,2020,7,68000000,22666666.666666668,3,Jul 2020,California,39512223,1.720986440069444,0.0075925872356004875,52.4,13.2,59.9,4.2,-7.5,9,4.170588235294117,-4.366666666666667,3.5874183006535945,-2.515032679738564,-0.9000000000000004,0.3999999999999986
CA,2020,8,116265400,12918377.777777778,9,Aug 2020,California,39512223,2.9425173066066166,0.02277776170680146,52.7,12.3,59.9,4.2,-7.199999999999996,8.100000000000001,4.529411764705883,-4.805882352941175,3.9462418300653606,-2.954248366013072,-0.8999999999999986,0.30000000000000426
CA,2020,9,95127884,6341858.933333334,15,Sep 2020,California,39512223,2.4075558593602793,0.037962936178002435,52.9,10.6,59.9,4.2,-7,6.3999999999999995,3.4725490196078423,-5.033333333333331,2.8893790849673198,-3.181699346405228,-1.700000000000001,0.19999999999999574
